Timestamp,Age,Age Group,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions
8/27/2022 19:29,18,A,Spotify,3,Yes,Yes,Yes,Latin,Yes,Yes,156,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Very frequently,Very frequently,Rarely,Never,Very frequently,Sometimes,Very frequently,Never,Sometimes,3,0,1,0,No effect,I understand.
8/27/2022 19:57,63,C,Pandora,1.5,Yes,No,No,Rock,Yes,No,119,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,7,2,2,1,No effect,I understand.
8/27/2022 21:28,18,A,Spotify,4,No,No,No,Video game music,No,Yes,132,Never,Never,Very frequently,Never,Never,Rarely,Rarely,Very frequently,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Very frequently,7,7,10,2,No effect,I understand.
8/27/2022 21:40,61,C,YouTube Music,2.5,Yes,No,Yes,Jazz,Yes,Yes,84,Sometimes,Never,Never,Rarely,Sometimes,Never,Very frequently,Sometimes,Very frequently,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,9,7,3,3,Improve,I understand.
8/27/2022 21:54,18,A,Spotify,4,Yes,No,No,R&B,Yes,No,107,Never,Never,Rarely,Never,Rarely,Very frequently,Never,Very frequently,Sometimes,Sometimes,Never,Sometimes,Very frequently,Very frequently,Never,Rarely,7,2,5,9,Improve,I understand.
8/27/2022 21:56,18,A,Spotify,5,Yes,Yes,Yes,Jazz,Yes,Yes,86,Rarely,Sometimes,Never,Never,Never,Sometimes,Very frequently,Very frequently,Rarely,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Very frequently,Never,8,8,7,7,Improve,I understand.
8/27/2022 22:00,18,A,YouTube Music,3,Yes,Yes,No,Video game music,Yes,Yes,66,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Sometimes,4,8,6,0,Improve,I understand.
8/27/2022 22:18,21,A,Spotify,1,Yes,No,No,K pop,Yes,Yes,95,Never,Never,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Rarely,5,3,5,3,Improve,I understand.
8/27/2022 22:33,19,A,Spotify,6,Yes,No,No,Rock,No,No,94,Never,Very frequently,Never,Sometimes,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Very frequently,Never,2,0,0,0,Improve,I understand.
8/27/2022 22:44,18,A,I do not use a streaming service.,1,Yes,No,No,R&B,Yes,Yes,155,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,2,2,5,1,Improve,I understand.
8/27/2022 22:51,18,A,Spotify,3,Yes,Yes,No,Country,Yes,No,,Never,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,7,7,4,7,No effect,I understand.
8/27/2022 23:00,19,A,YouTube Music,8,Yes,No,No,EDM,Yes,No,125,Rarely,Never,Very frequently,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,1,0,0,1,Improve,I understand.
8/27/2022 23:12,19,A,Spotify,2,Yes,No,No,Country,Yes,No,88,Never,Very frequently,Rarely,Sometimes,Never,Sometimes,Never,Never,Never,Rarely,Never,Rarely,Never,Very frequently,Never,Never,2,1,2,0,Improve,I understand.
8/27/2022 23:16,18,A,Spotify,4,Yes,Yes,No,Jazz,Yes,Yes,148,Very frequently,Rarely,Never,Never,Never,Never,Very frequently,Never,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,6,4,7,0,Improve,I understand.
8/27/2022 23:19,17,A,Spotify,2,No,No,No,Pop,Yes,Yes,,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Rarely,7,5,4,1,Worsen,I understand.
8/27/2022 23:39,16,A,Spotify,8,Yes,No,No,Hip hop,Yes,Yes,103,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Rarely,8,8,4,3,Improve,I understand.
8/27/2022 23:39,16,A,Spotify,12,Yes,No,Yes,Hip hop,Yes,Yes,120,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Never,5,7,10,0,Improve,I understand.
8/27/2022 23:40,17,A,Spotify,24,Yes,No,No,Rap,Yes,No,99,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Very frequently,Never,7,5,0,3,Improve,I understand.
8/27/2022 23:41,15,A,Spotify,3,No,No,No,Hip hop,No,No,120,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Very frequently,Rarely,Never,7,3,0,2,Improve,I understand.
8/27/2022 23:43,15,A,Apple Music,8,Yes,No,No,Hip hop,Yes,Yes,120,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Rarely,Very frequently,Sometimes,Sometimes,6,9,3,0,Improve,I understand.
